size	n	mds_r	mean_rdm_r	rmsd	concepts	type	n_triads	log_n
3	316	0.10192698828551228	0.09649871680056751	0.876013870320774	50	random	19600	2.499687082618404
3	562	0.14033438281228555	0.1325761749496389	1.1500703039061522	50	random	19600	2.749736315569061
3	1000	0.22280492099282104	0.21159850952501044	1.3977098006490827	50	random	19600	3.0
3	1778	0.33876242032202747	0.31801129942014594	1.5643922069879002	50	random	19600	3.249931756634195
3	3162	0.5110438392867279	0.475569740301204	1.644560205556256	50	random	19600	3.49996186559619
3	5623	0.6879928328128099	0.6301870265919279	1.6749385458693395	50	random	19600	3.749968083509403
3	10000	0.7656080107218133	0.6976700556814617	1.6841320587219328	50	random	19600	4.0
3	17782	0.8133545311390129	0.7384888165807552	1.6878658961981199	50	random	19600	4.2499806059095295
3	31622	0.8340426742523244	0.7572801030802674	1.6896369824546393	50	random	19600	4.499989334334184
4	316	0.01598814808788511	0.015683358522375356	237.64057829072559	50	random	19600	2.499687082618404
4	562	0.018822263859753916	0.018385379268418815	557.7614232871881	50	random	19600	2.749736315569061
4	1000	0.032979985426398274	0.030078321484016023	13.058292795504332	50	random	19600	3.0
4	1778	0.3199887219166859	0.25822654203189416	7.025417506262431	50	random	19600	3.249931756634195
4	3162	0.7021304709956768	0.6091838673791649	1.9060499076059458	50	random	19600	3.49996186559619
4	5623	0.830237185144172	0.7358878587814067	1.8747371811384603	50	random	19600	3.749968083509403
4	10000	0.8542570019430615	0.7577238449007936	1.8757515592113472	50	random	19600	4.0
4	17782	0.8554406442858793	0.7612746049223371	1.8749310141950033	50	random	19600	4.2499806059095295
4	31622	0.8554214317988084	0.7615265836358425	1.8748345830919853	50	random	19600	4.499989334334184
5	316	0.006204239891891908	0.005822155931874135	157.200070748715	50	random	19600	2.499687082618404
5	562	0.03232606641466903	0.029708546101557633	25.258806158909678	50	random	19600	2.749736315569061
5	1000	0.06722838458339195	0.052312994311329256	6.1080434311079035	50	random	19600	3.0
5	1778	0.42883044598211456	0.31568205234387586	2.2088659756920452	50	random	19600	3.249931756634195
5	3162	0.7727714105159905	0.6485069458020637	2.0676221196259825	50	random	19600	3.49996186559619
5	5623	0.8494618849321938	0.7365134192891739	2.051287795174366	50	random	19600	3.749968083509403
5	10000	0.8513983430836335	0.742327234027053	2.0503786924269667	50	random	19600	4.0
5	17782	0.852704791225214	0.7440840204757946	2.0487354791804835	50	random	19600	4.2499806059095295
5	31622	0.8536915016547194	0.746775287134331	2.048141577708815	50	random	19600	4.499989334334184
6	316	0.026482537156316977	0.02500378041825117	39.27237997173417	50	random	19600	2.499687082618404
6	562	0.0591358075373836	0.04818192553374723	10.799272426761382	50	random	19600	2.749736315569061
6	1000	0.13078171009174394	0.08817702734057056	3.7215310456107273	50	random	19600	3.0
6	1778	0.3062780647542924	0.19486831550777226	2.550736855642932	50	random	19600	3.249931756634195
6	3162	0.6261788999397283	0.48072388852829206	2.3062330686947106	50	random	19600	3.49996186559619
6	5623	0.8068246670602891	0.6673378584416363	2.238390041544185	50	random	19600	3.749968083509403
6	10000	0.8182732174991738	0.6848861217626496	2.2330170660249498	50	random	19600	4.0
6	17782	0.8223271922680914	0.6912271531776112	2.231046379505769	50	random	19600	4.2499806059095295
6	31622	0.8238491741252716	0.6943398838505963	2.230151364648005	50	random	19600	4.499989334334184
7	316	0.018882461979440233	0.018187953346192703	85.30859817903517	50	random	19600	2.499687082618404
7	562	0.08630445506958229	0.06363415497580968	7.136010007685593	50	random	19600	2.749736315569061
7	1000	0.14331038327979978	0.09338981967703648	4.180177771178869	50	random	19600	3.0
7	1778	0.210028447389398	0.12922815170783178	3.148099450475881	50	random	19600	3.249931756634195
7	3162	0.48241979994138007	0.32096963299035985	2.578048324799903	50	random	19600	3.49996186559619
7	5623	0.6428128619890183	0.4626579016691988	2.485668723759783	50	random	19600	3.749968083509403
7	10000	0.7152747890286774	0.5466723458889046	2.4568332924589384	50	random	19600	4.0
7	17782	0.729435469058799	0.5630853469825392	2.448683405813322	50	random	19600	4.2499806059095295
7	31622	0.7345073821602289	0.5699716232464492	2.4455180852867957	50	random	19600	4.499989334334184
8	316	0.05320630681392603	0.044422066025816345	17.357464021262505	50	random	19600	2.499687082618404
8	562	0.08775830219602573	0.06138832507473559	7.697556897366667	50	random	19600	2.749736315569061
8	1000	0.12427651131650522	0.08102992567877945	5.131814584607122	50	random	19600	3.0
8	1778	0.1852613331021296	0.11698928066639377	3.8832729421118577	50	random	19600	3.249931756634195
8	3162	0.26728579295417576	0.16291395916877954	3.170401650060824	50	random	19600	3.49996186559619
8	5623	0.3930305715034059	0.2469090923361974	2.895147316807283	50	random	19600	3.749968083509403
8	10000	0.5521780491384175	0.3779811909079972	2.756441525499689	50	random	19600	4.0
8	17782	0.5636223226728723	0.38933271257859814	2.7468703272843107	50	random	19600	4.2499806059095295
8	31622	0.572611429718822	0.39684084178647205	2.740728805098545	50	random	19600	4.499989334334184
9	316	0.07193349210387448	0.05809043137610961	15.529759921963484	50	random	19600	2.499687082618404
9	562	0.08672232305037723	0.05920071304823484	8.312666891931702	50	random	19600	2.749736315569061
9	1000	0.11078797526593846	0.0730315347074119	6.336235866438488	50	random	19600	3.0
9	1778	0.15660976968566862	0.10152686750289927	4.857678850865893	50	random	19600	3.249931756634195
9	3162	0.21962537339630434	0.1355524376283192	3.861600775493604	50	random	19600	3.49996186559619
9	5623	0.2874102630794729	0.1780352964254172	3.4605489522286965	50	random	19600	3.749968083509403
9	10000	0.36554959575203494	0.23151095101443114	3.249459254288073	50	random	19600	4.0
9	17782	0.38001683406297015	0.24294679952334386	3.2271455180998387	50	random	19600	4.2499806059095295
9	31622	0.3992610781051132	0.2574448869924503	3.1963248135960316	50	random	19600	4.499989334334184
10	316	0.08327188551597955	0.06607579703009156	13.058947432958902	50	random	19600	2.499687082618404
10	562	0.10266023352229633	0.07554300939234895	9.4000174720722	50	random	19600	2.749736315569061
10	1000	0.12229601079692454	0.08397355947293962	6.991978100587905	50	random	19600	3.0
10	1778	0.13080023808880553	0.08258562244550918	5.898311774427571	50	random	19600	3.249931756634195
10	3162	0.17001861528714945	0.10607992038090926	4.892503348370334	50	random	19600	3.49996186559619
10	5623	0.20674682481432122	0.12799093884436802	4.353852378625836	50	random	19600	3.749968083509403
10	10000	0.25476785315999045	0.158754532203259	4.0079597658658646	50	random	19600	4.0
10	17782	0.27402675141545596	0.1723638366077987	3.9053969961163175	50	random	19600	4.2499806059095295
10	31622	0.28185200209742567	0.1771646887149233	3.862058569723911	50	random	19600	4.499989334334184
