size	n	mds_r	mean_rdm_r	rmsd	concepts	type	n_triads	log_n
3	316	0.09847948638905973	0.08896028629332979	0.8644068070065295	50	random	19600	2.499687082618404
3	562	0.14863917443808172	0.1359828936748162	1.147323105847755	50	random	19600	2.749736315569061
3	1000	0.2219309680862503	0.20354459634720704	1.4008188348571198	50	random	19600	3.0
3	1778	0.34746028896633413	0.3179015746742179	1.5650258886004262	50	random	19600	3.249931756634195
3	3162	0.5248126926716917	0.4723825948513117	1.6473157907829563	50	random	19600	3.49996186559619
3	5623	0.6728646934831486	0.5953786275170815	1.6753415263292222	50	random	19600	3.749968083509403
3	10000	0.7778530403239966	0.6788665507008993	1.6878337361367557	50	random	19600	4.0
3	17782	0.8252519705013348	0.718606590167315	1.6918944152984128	50	random	19600	4.2499806059095295
3	31622	0.8251949966173691	0.7184875581831425	1.6916065429456986	50	random	19600	4.499989334334184
4	316	0.018773140383496707	0.018042137061309756	103.9717058841853	50	random	19600	2.499687082618404
4	562	0.013359516997828383	0.013063954356486898	316.4454282371283	50	random	19600	2.749736315569061
4	1000	0.024829760212104555	0.02203163423763898	27.460094910318197	50	random	19600	3.0
4	1778	0.31605834366858554	0.22403364883494023	2.1973957284837793	50	random	19600	3.249931756634195
4	3162	0.7980101243659545	0.6777820200753959	1.8893631989260886	50	random	19600	3.49996186559619
4	5623	0.8323399251401291	0.7083123011147896	1.888785305250091	50	random	19600	3.749968083509403
4	10000	0.8454928954872598	0.7193583727352431	1.8884854667671238	50	random	19600	4.0
4	17782	0.8541931882047008	0.7255432989548829	1.8886057391577524	50	random	19600	4.2499806059095295
4	31622	0.8549648778438732	0.727510527294093	1.8878522886362774	50	random	19600	4.499989334334184
5	316	0.005113425645397891	0.004854014568487237	165.08559167614948	50	random	19600	2.499687082618404
5	562	0.045536887628654266	0.040746454429498105	11.300262300600386	50	random	19600	2.749736315569061
5	1000	0.19023446981417946	0.12534949060736505	3.1338434883751924	50	random	19600	3.0
5	1778	0.49398277952649805	0.3465466015958868	2.2016966997069622	50	random	19600	3.249931756634195
5	3162	0.829867165604616	0.6800621915258015	2.086432010050722	50	random	19600	3.49996186559619
5	5623	0.8394297456254114	0.6921956567302004	2.082980545332865	50	random	19600	3.749968083509403
